"layer","xmin","xmax","ymin","ymax","fill","PANEL","group","colour","linewidth","linetype","alpha","x","y","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","yintercept"
1,0,3.5040865661333,0,0.68988173455979,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,3.5040865661333,8.65315989409462,0,0.514196288844176,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,8.65315989409462,14.1867157822033,0,0.499271895152902,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,14.1867157822033,20.3487970530678,0,0.373622267887166,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,20.3487970530678,23.9380683780361,0,0.352790250160359,"gray50","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,23.9380683780361,27.7817428341199,0,0.329439952081462,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,27.7817428341199,29.2736272591228,0,0.308641975308642,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,29.2736272591228,30.5030505352826,0,0.280898876404494,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,30.5030505352826,41.7716127546909,0,0.22474205741138,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,41.7716127546909,46.2864049729481,0,0.101988781234064,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,46.2864049729481,54.5850120870266,0,0.0971008461645166,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,54.5850120870266,57.5215839760562,0,0.0784006272050176,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,57.5215839760562,59.3219753654887,0,0.0639386189258312,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,59.3219753654887,70.5962933118453,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,70.5962933118453,75.6072291930471,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,75.6072291930471,79.1734776102222,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,79.1734776102222,82.4956832047888,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,82.4956832047888,85.5945665937608,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,85.5945665937608,88.6474041671463,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,88.6474041671463,91.3157591803845,0,0,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,91.3157591803845,93.6905721192587,0,0,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,93.6905721192587,95.525497870381,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,95.525497870381,97.276390008058,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,97.276390008058,98.5288361920111,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,98.5288361920111,99.4543570852999,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,99.4543570852999,100,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,0,0.68988173455979,3.5040865661333,0.68988173455979,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,3.5040865661333,0.514196288844176,8.65315989409462,0.514196288844176,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,8.65315989409462,0.499271895152902,14.1867157822033,0.499271895152902,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,14.1867157822033,0.373622267887166,20.3487970530678,0.373622267887166,,,,,,,,,,,
2,,,,,,"1",4,"gray50",0.8,"1",,20.3487970530678,0.352790250160359,23.9380683780361,0.352790250160359,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,23.9380683780361,0.329439952081462,27.7817428341199,0.329439952081462,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,27.7817428341199,0.308641975308642,29.2736272591228,0.308641975308642,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,29.2736272591228,0.280898876404494,30.5030505352826,0.280898876404494,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,30.5030505352826,0.22474205741138,41.7716127546909,0.22474205741138,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,41.7716127546909,0.101988781234064,46.2864049729481,0.101988781234064,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,46.2864049729481,0.0971008461645166,54.5850120870266,0.0971008461645166,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,54.5850120870266,0.0784006272050176,57.5215839760562,0.0784006272050176,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,57.5215839760562,0.0639386189258312,59.3219753654887,0.0639386189258312,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,59.3219753654887,0,70.5962933118453,0,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,70.5962933118453,0,75.6072291930471,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,75.6072291930471,0,79.1734776102222,0,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,79.1734776102222,0,82.4956832047888,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,82.4956832047888,0,85.5945665937608,0,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,85.5945665937608,0,88.6474041671463,0,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,88.6474041671463,0,91.3157591803845,0,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,91.3157591803845,0,93.6905721192587,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,93.6905721192587,0,95.525497870381,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,95.525497870381,0,97.276390008058,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,97.276390008058,0,98.5288361920111,0,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,98.5288361920111,0,99.4543570852999,0,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,99.4543570852999,0,100,0,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,0,0,0,0.68988173455979,,,,,,,,,,,
3,,,,,,"1",5,"#E7298A",0.4,"1",,3.5040865661333,0,3.5040865661333,0.514196288844176,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,8.65315989409462,0,8.65315989409462,0.499271895152902,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,14.1867157822033,0,14.1867157822033,0.373622267887166,,,,,,,,,,,
3,,,,,,"1",4,"gray50",0.4,"1",,20.3487970530678,0,20.3487970530678,0.352790250160359,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,23.9380683780361,0,23.9380683780361,0.329439952081462,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,27.7817428341199,0,27.7817428341199,0.308641975308642,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,29.2736272591228,0,29.2736272591228,0.280898876404494,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,30.5030505352826,0,30.5030505352826,0.22474205741138,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,41.7716127546909,0,41.7716127546909,0.101988781234064,,,,,,,,,,,
