"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha","xend","yend","nudge_x","nudge_y","yintercept"
1,1985,0.66,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985,0.66,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985,0.63,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1989,0.56,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1989,0.44,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1990,0.72,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1990,0.55,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1991,0.69,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1993,0.52,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1994,0.52,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2000,0.3,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2003,0.97,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2004,0.77,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2004,0.5,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2004,0.7,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
