"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,560000,1.02821742616217,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54000,0.858800800656361,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,560000,1.02821742616217,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,560000,1.02821742616217,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,560000,1.02821742616217,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,1.56114236298379,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,1.25105100852266,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1.61448562617349,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1.6638262301998,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1.46164492489291,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,250000,1.9966660587436,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,0.926574837359454,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,1.42973165261323,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,0.32453973347692,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,140000,0.729802974306992,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,0.32453973347692,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+05,1.17882353960544,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1.17339166369142,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5000,1.92219329959616,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55000,1.01266299402801,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+05,0.855162469594504,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,140000,0.782083305394927,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,1.03299302976628,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,560000,1.02821742616217,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,0.840428247569832,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,0.711789067570379,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,670000,2.66984785147362,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,1.37448515081632,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,1.37448515081632,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1100000,1.60018939426895,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,1.37448515081632,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,0.861150174242349,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,1.73536415881919,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+05,0.828048095122745,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,645000,1.20507009128668,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,1.17427959860739,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,1.17427959860739,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,1.17427959860739,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,0.705559178672582,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,0.705559178672582,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,0.705559178672582,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1300,1.25068697564771,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,0.705559178672582,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74000,0.903089986991944,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,0.705559178672582,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1400000,1.25224253000522,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,2.00031716116656,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,1.78643474347459,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,625000,1.53015048817221,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1500000,1.00170830704919,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,1.95983881608317,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20000,0.868371228748614,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1.14647343508901,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,37974.6835443038,1.15925157168786,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,75949.3670886076,1.1720297082867,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,113924.050632911,1.18480784488555,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,151898.734177215,1.1975859814844,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,189873.417721519,1.21036411808324,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,227848.101265823,1.22314225468209,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,265822.784810127,1.23592039128094,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,303797.46835443,1.24869852787978,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,341772.151898734,1.26147666447863,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,379746.835443038,1.27425480107748,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,417721.518987342,1.28703293767632,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,455696.202531646,1.29981107427517,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,493670.886075949,1.31258921087402,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,531645.569620253,1.32536734747286,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,569620.253164557,1.33814548407171,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,607594.936708861,1.35092362067056,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,645569.620253165,1.3637017572694,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,683544.303797468,1.37647989386825,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,721518.987341772,1.3892580304671,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,759493.670886076,1.40203616706594,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,797468.35443038,1.41481430366479,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,835443.037974684,1.42759244026364,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
