"layer","x","y","fill","PANEL","group","align_padding","flipped_aes","ymin","ymax","xmin","xmax","colour","linewidth","linetype","alpha"
1,1915.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1915.125,1915.125,"white",0.15,1,0.95
1,1915.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1915.875,1915.875,"white",0.15,1,0.95
1,1916,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1916,1916,"white",0.15,1,0.95
1,1916.125,1,"#377eb8","1",1,"FALSE","FALSE",0.209090909090909,1,1916.125,1916.125,"white",0.15,1,0.95
1,1916.875,1,"#377eb8","1",1,"FALSE","FALSE",0.263636363636364,1,1916.875,1916.875,"white",0.15,1,0.95
1,1917,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1917,1917,"white",0.15,1,0.95
1,1917.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1917.125,1917.125,"white",0.15,1,0.95
1,1917.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1917.875,1917.875,"white",0.15,1,0.95
1,1918,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1918,1918,"white",0.15,1,0.95
1,1918.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1918.125,1918.125,"white",0.15,1,0.95
1,1918.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1918.875,1918.875,"white",0.15,1,0.95
1,1919,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1919,1919,"white",0.15,1,0.95
1,1919.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1919.125,1919.125,"white",0.15,1,0.95
1,1919.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1919.875,1919.875,"white",0.15,1,0.95
1,1920,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1920,1920,"white",0.15,1,0.95
1,1920.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1920.125,1920.125,"white",0.15,1,0.95
1,1920.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1920.875,1920.875,"white",0.15,1,0.95
1,1921,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1921,1921,"white",0.15,1,0.95
1,1921.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1921.125,1921.125,"white",0.15,1,0.95
1,1921.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1921.875,1921.875,"white",0.15,1,0.95
1,1922,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1922,1922,"white",0.15,1,0.95
1,1922.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1922.125,1922.125,"white",0.15,1,0.95
1,1922.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1922.875,1922.875,"white",0.15,1,0.95
1,1923,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1923,1923,"white",0.15,1,0.95
1,1923.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1923.125,1923.125,"white",0.15,1,0.95
1,1923.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1923.875,1923.875,"white",0.15,1,0.95
1,1924,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1924,1924,"white",0.15,1,0.95
1,1924.125,1,"#377eb8","1",1,"FALSE","FALSE",0.28030303030303,1,1924.125,1924.125,"white",0.15,1,0.95
1,1924.875,1,"#377eb8","1",1,"FALSE","FALSE",0.325757575757576,1,1924.875,1924.875,"white",0.15,1,0.95
1,1925,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1925,1925,"white",0.15,1,0.95
1,1925.125,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1925.125,1925.125,"white",0.15,1,0.95
1,1925.875,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1925.875,1925.875,"white",0.15,1,0.95
1,1926,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1926,1926,"white",0.15,1,0.95
1,1926.125,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1926.125,1926.125,"white",0.15,1,0.95
1,1926.875,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1926.875,1926.875,"white",0.15,1,0.95
1,1927,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1927,1927,"white",0.15,1,0.95
1,1927.125,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1927.125,1927.125,"white",0.15,1,0.95
1,1927.875,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1927.875,1927.875,"white",0.15,1,0.95
1,1928,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1928,1928,"white",0.15,1,0.95
1,1928.125,1,"#377eb8","1",1,"FALSE","FALSE",0.33974358974359,1,1928.125,1928.125,"white",0.15,1,0.95
1,1928.875,1,"#377eb8","1",1,"FALSE","FALSE",0.378205128205128,1,1928.875,1928.875,"white",0.15,1,0.95
1,1929,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1929,1929,"white",0.15,1,0.95
1,1929.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1929.125,1929.125,"white",0.15,1,0.95
1,1929.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1929.875,1929.875,"white",0.15,1,0.95
1,1930,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1930,1930,"white",0.15,1,0.95
1,1930.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1930.125,1930.125,"white",0.15,1,0.95
1,1930.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1930.875,1930.875,"white",0.15,1,0.95
