"layer","xmin","xmax","ymin","ymax","fill","PANEL","group","colour","linewidth","linetype","alpha","x","y","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","yintercept"
2,,,,,,"1",1,"#8B4577",0.8,"1",,60.5226200069069,0.941028858218319,62.3575457580292,0.941028858218319,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,62.3575457580292,0.872515753756665,64.7323586969034,0.872515753756665,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,64.7323586969034,0.839251129761136,68.2986071140785,0.839251129761136,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,68.2986071140785,0.788954635108481,70.0494992517555,0.788954635108481,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,70.0494992517555,0.780089153046062,73.1483826407275,0.780089153046062,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,73.1483826407275,0.387992648560343,84.4227005870842,0.387992648560343,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,84.4227005870842,0.210970464135021,84.9683435017843,0.210970464135021,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,84.9683435017843,0.188536953242836,88.0211810751698,0.188536953242836,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,88.0211810751698,0.117785630153121,88.9985035109934,0.117785630153121,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,88.9985035109934,0.0459453250631748,94.0094393921952,0.0459453250631748,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,94.0094393921952,0,97.3316449867618,0,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,97.3316449867618,0,100,0,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,0,0,0,5.09673392968588,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,5.53355588810867,0,5.53355588810867,5.0561797752809,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,6.76297916426845,0,6.76297916426845,3.25229960578187,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,10.2670657304018,0,10.2670657304018,3.05480682839173,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,14.1107401864856,0,14.1107401864856,3.03416624171341,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,18.6255324047427,0,18.6255324047427,2.87056900602717,,,,,,,,,,,
