"layer","x","ymin","ymax","fill","PANEL","group","flipped_aes","y","colour","linewidth","linetype","alpha","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","xmin","xmax","yintercept"
4,3.77996336030428,,,,"1",-1,,5.69314767602282,"black",,,,,,"Ag. & natural resources",0,0,"",3.5,0,0,0,"1",1.2,,,
4,5.69872739984658,,,,"1",-1,,2.92624421362038,"black",,,,,,"Other Social Sciences",0,0,"",3.5,0,0,0,"1",1.2,,,
5,15.2374079915383,,,,"1",-1,,1.15200094922614,"black",,,,,,"Physical Sciences",0,0,"",3.5,0,0.5,0.5,"1",1.2,,,
5,48.3880350993206,,,,"1",-1,,0.758211020053459,"black",,,,,,"Life & Health Sciences",0,0,"",3.5,0,0.5,0.5,"1",1.2,,,
6,83.066866227919,,,,"1",-1,,1.21548718779616,"black",,,,,,"CS & Engineering",0,0,"",3.5,0,0.5,0,"1",1.2,,,
6,97.3668754202134,,,,"1",-1,,0.457213945395455,"black",,,,,,"Psychology",0,0,"",3.5,0,0.5,0,"1",1.2,,,
7,0,,,,"1",-1,,-0.2,"black",0.1,"1",,0,-0.3,,,,,,,,,,,,,
7,0.402829803291787,,,,"1",-1,,-0.2,"black",0.1,"1",,0.402829803291787,-0.3,,,,,,,,,,,,,
7,1.44058221660195,,,,"1",-1,,-0.2,"black",0.1,"1",,1.44058221660195,-0.3,,,,,,,,,,,,,
7,3.17996336030428,,,,"1",-1,,-0.2,"black",0.1,"1",,3.17996336030428,-0.3,,,,,,,,,,,,,
7,5.09872739984658,,,,"1",-1,,-0.2,"black",0.1,"1",,5.09872739984658,-0.3,,,,,,,,,,,,,
7,25.3760885832301,,,,"1",-1,,-0.2,"black",0.1,"1",,25.3760885832301,-0.3,,,,,,,,,,,,,
7,71.3999816154112,,,,"1",-1,,-0.2,"black",0.1,"1",,71.3999816154112,-0.3,,,,,,,,,,,,,
7,94.7337508404269,,,,"1",-1,,-0.2,"black",0.1,"1",,94.7337508404269,-0.3,,,,,,,,,,,,,
8,0.402829803291787,,,,"1",-1,,-0.2,"black",0.1,"1",,0.402829803291787,-0.3,,,,,,,,,,,,,
8,1.44058221660195,,,,"1",-1,,-0.2,"black",0.1,"1",,1.44058221660195,-0.3,,,,,,,,,,,,,
8,3.17996336030428,,,,"1",-1,,-0.2,"black",0.1,"1",,3.17996336030428,-0.3,,,,,,,,,,,,,
8,5.09872739984658,,,,"1",-1,,-0.2,"black",0.1,"1",,5.09872739984658,-0.3,,,,,,,,,,,,,
8,25.3760885832301,,,,"1",-1,,-0.2,"black",0.1,"1",,25.3760885832301,-0.3,,,,,,,,,,,,,
8,71.3999816154112,,,,"1",-1,,-0.2,"black",0.1,"1",,71.3999816154112,-0.3,,,,,,,,,,,,,
