"layer","y","x","PANEL","group","flipped_aes","colour","linewidth","linetype","alpha","family","size","angle","hjust","vjust","fontface","lineheight","label"
1,438.888888888889,2006,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,438.888888888889,2007,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,444.444444444444,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,450,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,455.555555555556,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,461.111111111111,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,466.666666666667,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,472.222222222222,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,477.777777777778,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,483.333333333333,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,488.888888888889,2008,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,494.444444444444,2009,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,500,2009,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,505.555555555556,2011,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,511.111111111111,2012,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,516.666666666667,2013,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,522.222222222222,2013,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,522.222222222222,2013,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,527.777777777778,2014,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,533.333333333333,2015,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,538.888888888889,2018,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,544.444444444444,2019,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,5.55555555555556,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,11.1111111111111,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,16.6666666666667,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,22.2222222222222,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,27.7777777777778,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,33.3333333333333,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,38.8888888888889,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,44.4444444444444,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,50,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,55.5555555555556,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,61.1111111111111,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,66.6666666666667,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,72.2222222222222,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,77.7777777777778,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,83.3333333333333,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,88.8888888888889,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
1,94.4444444444444,,"1",-1,"FALSE","#1A237E",0.8,1,,,,,,,,,
2,100,1925,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,100,1929,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,100.204674010122,1936,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,104.856356058351,1946,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,107.27523072343,1952,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,107.321747543912,1957,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,114.20623697529,1959,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,118.857919023519,1960,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,121.183760047633,1960,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,182.95809764811,1961,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,184.818770467401,1964,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,184.818770467401,1966,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,184.818770467401,1967,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,203.425498660316,1969,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,205.844373325394,1970,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,208.635382554332,1972,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
