"layer","y","x","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,560000,1982,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,1984,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,1984,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1985,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1985,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1985,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,250000,1987,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,1987,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,1989,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,1989,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,140000,1990,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e+05,1990,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+05,1991,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,660000,1992,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5000,1993,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55000,1993,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+05,1994,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,140000,1996,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,2000,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,560000,2000,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,2001,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,2001,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,670000,2003,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,2004,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,2004,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1100000,2004,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200000,2004,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5e+05,2004,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,2005,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+05,2006,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,645000,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
