Winner,Wikipedia_URL,qid,birth_year
Jennifer Doudna,https://en.wikipedia.org/wiki/Jennifer_Doudna,Q56068,1964
Rodolphe Barrangou,https://en.wikipedia.org/wiki/Rodolphe_Barrangou,Q23638664,1975
Akira Endo,https://en.wikipedia.org/wiki/Akira_Endo_(biochemist),Q418693,1933
Lewis E. Kay,https://en.wikipedia.org/wiki/Lewis_E._Kay,Q29046014,1961
Azim Surani,https://en.wikipedia.org/wiki/Azim_Surani,Q793786,1945
Davor Solter,https://en.wikipedia.org/wiki/Davor_Solter,Q1178284,1941
Edward Boyden,https://en.wikipedia.org/wiki/Edward_Boyden,Q5341974,1979
Bruce Stillman,https://en.wikipedia.org/wiki/Bruce_Stillman,Q991815,1953
John F.X. Diffley,https://en.wikipedia.org/wiki/John_Diffley,Q101891311,
Ronald Vale,https://en.wikipedia.org/wiki/Ronald_Vale,Q542242,1959
Susan Band Horwitz,https://en.wikipedia.org/wiki/Susan_Band_Horwitz,Q16866414,1937
Timothy A. Springer,https://en.wikipedia.org/wiki/Timothy_A._Springer,Q1649143,1948
Elaine Fuchs,https://en.wikipedia.org/wiki/Elaine_Fuchs,Q516846,1950
Masatoshi Takeichi,https://en.wikipedia.org/wiki/Masatoshi_Takeichi,Q6144808,1943
Mina J. Bissell,https://en.wikipedia.org/wiki/Mina_J._Bissell,Q4794835,1940
Roel Nusse,https://en.wikipedia.org/wiki/Roel_Nusse,Q7357582,1950
Rolf Kemler,https://en.wikipedia.org/wiki/Rolf_Kemler,Q15842914,1945
Daniel J. Drucker,https://en.wikipedia.org/wiki/Daniel_J._Drucker,Q19966099,1956
Jens Juul Holst,https://en.wikipedia.org/wiki/Jens_Juul_Holst,Q28373106,1945
Joel F. Habener,https://en.wikipedia.org/wiki/Joel_F._Habener,,
Mary-Claire King,https://en.wikipedia.org/wiki/Mary-Claire_King,Q437741,1946
John Dick,https://en.wikipedia.org/wiki/John_Dick_(biologist),Q6229356,1957
Pieter Cullis,https://en.wikipedia.org/wiki/Pieter_Cullis,Q88255217,1946
Stuart Orkin,https://en.wikipedia.org/wiki/Stuart_Orkin,Q22095816,1946
Bonnie L. Bassler,https://en.wikipedia.org/wiki/Bonnie_L._Bassler,Q60545293,1962
E. Peter Greenberg,https://en.wikipedia.org/wiki/E._Peter_Greenberg,Q20026282,1948
John M. Jumper,https://en.wikipedia.org/wiki/John_M._Jumper,Q89620738,1985
Michael R. Silverman,https://en.wikipedia.org/wiki/Michael_Silverman_(biologist),,
Pascal Mayer,https://en.wikipedia.org/wiki/Pascal_Mayer_(scientist),,
Zelig Eshhar,https://en.wikipedia.org/wiki/Zelig_Eshhar,Q18029986,1941
Isamu Akasaki,https://en.wikipedia.org/wiki/Isamu_Akasaki,Q1673706,1929
M. George Craford,https://en.wikipedia.org/wiki/M._George_Craford,Q6712608,1938
Nick Holonyak Jr.,https://en.wikipedia.org/wiki/Nick_Holonyak,Q360445,1928
Russell Dupuis,https://en.wikipedia.org/wiki/Russell_Dupuis,Q7381274,1947
Shuji Nakamura,https://en.wikipedia.org/wiki/Shuji_Nakamura,Q730065,1954
Andrew J. Viterbi,https://en.wikipedia.org/wiki/Andrew_Viterbi,Q505358,1935
Bjarne Stroustrup,https://en.wikipedia.org/wiki/Bjarne_Stroustrup,Q92620,1950
C. Grant Willson,https://en.wikipedia.org/wiki/C._Grant_Willson,Q15120961,1939
Jean Frechet,https://en.wikipedia.org/wiki/Jean_M._J._Fr%C3%A9chet,,
David A. Patterson,https://en.wikipedia.org/wiki/David_Patterson_(computer_scientist),Q92851,1947
John L. Hennessy,https://en.wikipedia.org/wiki/John_L._Hennessy,Q92854,1952
Sophie M. Wilson,https://en.wikipedia.org/wiki/Sophie_Wilson,Q16489,1957
Stephen B. Furber,https://en.wikipedia.org/wiki/Steve_Furber,Q92776,1953
Stuart Parkin,https://en.wikipedia.org/wiki/Stuart_Parkin,Q2357941,1955
Peter Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Q192112,1929
Richard Henderson,https://en.wikipedia.org/wiki/Richard_Henderson_(biologist),Q1678456,1945
Jeffrey I. Gordon,https://en.wikipedia.org/wiki/Jeffrey_I._Gordon,Q6176064,1947
John B. Goodenough,https://en.wikipedia.org/wiki/John_B._Goodenough,Q906529,1922
Alan Fersht,https://en.wikipedia.org/wiki/Alan_Fersht,Q537479,1943
Jocelyn Bell Burnell,https://en.wikipedia.org/wiki/Jocelyn_Bell_Burnell,Q233974,1943
Oxford-AstraZeneca Vaccine Team,https://en.wikipedia.org/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine,Q95042269,
Martin Rees,https://en.wikipedia.org/wiki/Martin_Rees,Q335213,1942
Gregory Winter,https://en.wikipedia.org/wiki/Greg_Winter,Q1545000,1951
Roger Blandford,https://en.wikipedia.org/wiki/Roger_Blandford,Q2161615,1949
Roy Kerr,https://en.wikipedia.org/wiki/Roy_Kerr,Q959840,1934
Eugene N. Parker,https://en.wikipedia.org/wiki/Eugene_N._Parker,Q503360,1927
Conny Aerts,https://en.wikipedia.org/wiki/Conny_Aerts,Q2993494,1966
Douglas Gough,https://en.wikipedia.org/wiki/Douglas_Gough,Q1252315,1941
Jorgen Christensen-Dalsgaard,https://en.wikipedia.org/wiki/J%C3%B8rgen_Christensen-Dalsgaard,Q6321460,1950
Richard Lewontin,https://en.wikipedia.org/wiki/Richard_Lewontin,Q659265,1929
Tomoko Ohta,https://en.wikipedia.org/wiki/Tomoko_Ohta,Q275103,1933
Sallie W. Chisholm,https://en.wikipedia.org/wiki/Penny_Chisholm,Q4794852,1947
Dolph Schluter,https://en.wikipedia.org/wiki/Dolph_Schluter,Q5289597,1955
Syukuro Manabe,https://en.wikipedia.org/wiki/Syukuro_Manabe,Q3675789,1931
Andrew H. Knoll,https://en.wikipedia.org/wiki/Andrew_H._Knoll,Q505705,1951
Yakov Eliashberg,https://en.wikipedia.org/wiki/Yakov_Eliashberg,Q1399503,1946
Enrico Bombieri,https://en.wikipedia.org/wiki/Enrico_Bombieri,Q333538,1940
Claire Voisin,https://en.wikipedia.org/wiki/Claire_Voisin,Q468049,1962
Alexander Rudensky,https://en.wikipedia.org/wiki/Alexander_Rudensky,Q21012878,1956
Fred Ramsdell,https://en.wikipedia.org/wiki/Fred_Ramsdell,Q28212107,1960
Daniel L. Kastner,https://en.wikipedia.org/wiki/Daniel_L._Kastner,Q96817021,1951
Helmut Schwarz,https://en.wikipedia.org/wiki/Helmut_Schwarz,Q109832,1943
Johan Olof Anders Robertsson,https://en.wikipedia.org/wiki/Johan_Olof_Anders_Robertsson,,
Menachem Elimelech,https://en.wikipedia.org/wiki/Menachem_Elimelech,Q15995048,
Mercouri Kanatzidis,https://en.wikipedia.org/wiki/Mercouri_Kanatzidis,Q19862296,1957
Albert Polman,https://en.wikipedia.org/wiki/Albert_Polman,Q2194444,1961
Barbara Sherwood Lollar,https://en.wikipedia.org/wiki/Barbara_Sherwood_Lollar,Q25849526,1963
Enrique Iglesia,https://en.wikipedia.org/wiki/Enrique_Iglesia,Q46417354,1954
Harry A. Atwater,https://en.wikipedia.org/wiki/Harry_A._Atwater,Q194204,1960
Graham Hutchings,https://en.wikipedia.org/wiki/Graham_Hutchings,Q263050,1951
Jens Nielsen,https://en.wikipedia.org/wiki/Jens_Nielsen,Q16733372,1962
Robert Schlogl,https://en.wikipedia.org/wiki/Robert_Schl%C3%B6gl,Q1284423,1954
Sang Yup Lee,https://en.wikipedia.org/wiki/Sang_Yup_Lee,,
James A. Dumesic,https://en.wikipedia.org/wiki/James_A._Dumesic,,
Michael Aziz,https://en.wikipedia.org/wiki/Michael_Aziz,Q62057572,
Paul Chirik,https://en.wikipedia.org/wiki/Paul_Chirik,Q48270784,1973
Roy Gordon,https://en.wikipedia.org/wiki/Roy_G._Gordon,Q56884605,1940
Chintamani Nagesa Ramachandra Rao,https://en.wikipedia.org/wiki/Chintamani_Nagesa_Ramachandra_Rao,Q1248892,1934
David T. Allen,https://en.wikipedia.org/wiki/David_T._Allen,,
Jorg Karger,https://en.wikipedia.org/wiki/J%C3%B6rg_K%C3%A4rger,Q28042733,1943
Jurgen Caro,https://en.wikipedia.org/wiki/J%C3%BCrgen_Caro,Q68156074,1951
Geoffrey W. Coates,https://en.wikipedia.org/wiki/Geoffrey_W._Coates,Q5610135,
Ib Chorkendorff,https://en.wikipedia.org/wiki/Ib_Chorkendorff,,
Jens Norskov,https://en.wikipedia.org/wiki/Jens_N%C3%B8rskov,Q6179782,1952
Naomi Halas,https://en.wikipedia.org/wiki/Naomi_Halas,Q56097,1957
Peter Nordlander,https://en.wikipedia.org/wiki/Peter_Nordlander,Q48061265,1955
Jeffrey R. Long,https://en.wikipedia.org/wiki/Jeffrey_R._Long,Q87687334,1969
Matthew Rosseinsky,https://en.wikipedia.org/wiki/Matthew_Rosseinsky,Q1909533,
Thalappil Pradeep,https://en.wikipedia.org/wiki/Thalappil_Pradeep,Q7709525,1963
Yu Huang,https://en.wikipedia.org/wiki/Yu_Huang,Q137767268,
Holger Braunschweig,https://en.wikipedia.org/wiki/Holger_Braunschweig,Q23009068,1961
Marc Fontecave,https://en.wikipedia.org/wiki/Marc_Fontecave,Q3288028,1956
Nam-Gyu Park,https://en.wikipedia.org/wiki/Nam-Gyu_Park,Q41222059,1960
Richard Blundell,https://en.wikipedia.org/wiki/Richard_Blundell,Q828656,1952
David Kreps,https://en.wikipedia.org/wiki/David_Kreps,Q448386,1950
Claudia Goldin,https://en.wikipedia.org/wiki/Claudia_Goldin,Q1097475,1946
Ariel Pakes,https://en.wikipedia.org/wiki/Ariel_Pakes,Q659220,1949
Michael Woodford,https://en.wikipedia.org/wiki/Michael_Woodford,Q17124763,
Graham R. Fleming,https://en.wikipedia.org/wiki/Graham_R._Fleming,Q5592825,1949
Richard Catlow,https://en.wikipedia.org/wiki/Richard_Catlow,Q7324667,1947
Laura Gagliardi,https://en.wikipedia.org/wiki/Laura_Gagliardi,Q48005604,1968
Michael Wasielewski,https://en.wikipedia.org/wiki/Michael_Wasielewski,Q29833671,1949
Jenny Nelson,https://en.wikipedia.org/wiki/Jenny_Nelson,Q16979968,
Akshay Venkatesh,https://en.wikipedia.org/wiki/Akshay_Venkatesh,Q176588,1981
Alessio Figalli,https://en.wikipedia.org/wiki/Alessio_Figalli,Q2641168,1984
Caucher Birkar,https://en.wikipedia.org/wiki/Caucher_Birkar,Q4121788,1978
Peter Scholze,https://en.wikipedia.org/wiki/Peter_Scholze,Q98034,1987
Hugo Duminil-Copin,https://en.wikipedia.org/wiki/Hugo_Duminil-Copin,Q15461028,1985
James Maynard,https://en.wikipedia.org/wiki/James_Maynard_(mathematician),Q19655060,1987
June Huh,https://en.wikipedia.org/wiki/June_Huh,Q32538394,1983
Maryna Viazovska,https://en.wikipedia.org/wiki/Maryna_Viazovska,Q23721911,1984
Stephen L. Buchwald,https://en.wikipedia.org/wiki/Stephen_Buchwald,Q6134174,1955
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,Q17714,1942
Viatcheslav Mukhanov,https://en.wikipedia.org/wiki/Viatcheslav_Mukhanov,Q1844592,1956
Bradley Efron,https://en.wikipedia.org/wiki/Bradley_Efron,Q897020,1938
David Cox,https://en.wikipedia.org/wiki/David_Cox,Q243670,
Eugene Mele,https://en.wikipedia.org/wiki/Eugene_Mele,Q30321687,
Charles Bennett,https://en.wikipedia.org/wiki/Charles_Bennett,Q450950,
A. Paul Alivisatos,https://en.wikipedia.org/wiki/Paul_Alivisatos,Q194559,1959
Michael Gratzel,https://en.wikipedia.org/wiki/Michael_Gr%C3%A4tzel,Q117008,1944
Charles Fefferman,https://en.wikipedia.org/wiki/Charles_Fefferman,Q284129,1949
Jean-Francois Le Gall,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Le_Gall,Q1398976,1959
Anne L'Huillier,https://en.wikipedia.org/wiki/Anne_L%27Huillier,Q565544,1958
Ferenc Krausz,https://en.wikipedia.org/wiki/Ferenc_Krausz,Q86970,1962
Paul Corkum,https://en.wikipedia.org/wiki/Paul_Corkum,Q2059205,1943
Charles L. Sawyers,https://en.wikipedia.org/wiki/Charles_Sawyers,Q1065232,1959
Joseph Schlessinger,https://en.wikipedia.org/wiki/Joseph_Schlessinger,Q2908140,1945
Tony Hunter,https://en.wikipedia.org/wiki/Tony_Hunter,Q30705302,
Gero Miesenboeck,https://en.wikipedia.org/wiki/Gero_Miesenb%C3%B6ck,Q5552368,1965
Francisco Martinez Mojica,https://en.wikipedia.org/wiki/Francisco_Mojica,Q25507410,1963
Joan Massague,https://en.wikipedia.org/wiki/Joan_Massagu%C3%A9,Q462775,1953
David M. Sabatini,https://en.wikipedia.org/wiki/David_M._Sabatini,Q16231524,1968
Ardem Patapoutian,https://en.wikipedia.org/wiki/Ardem_Patapoutian,Q60322501,1967
Arthur Horwich,https://en.wikipedia.org/wiki/Arthur_Horwich,Q449737,1951
Ulrich Hartl,https://en.wikipedia.org/wiki/Ulrich_Hartl,Q91435,1957
Richard Alley,https://en.wikipedia.org/wiki/Richard_Alley,Q7323700,1957
James E. Hansen,https://en.wikipedia.org/wiki/James_E._Hansen,Q724095,1941
William Nordhaus,https://en.wikipedia.org/wiki/William_Nordhaus,Q562481,1941
Anny Cazenave,https://en.wikipedia.org/wiki/Anny_Cazenave,Q2851811,1944
John A. Church,https://en.wikipedia.org/wiki/John_A._Church,Q16728052,1951
Jonathan Gregory,https://en.wikipedia.org/wiki/Jonathan_Gregory,Q15070083,
Kerry Emanuel,https://en.wikipedia.org/wiki/Kerry_Emanuel,Q1739606,1955
Ian Burton,https://en.wikipedia.org/wiki/Ian_Burton,,
Karen O'Brien,https://en.wikipedia.org/wiki/Karen_O'Brien,Q64624744,
Neil Adger,https://en.wikipedia.org/wiki/Neil_Adger,Q23461693,1964
Ellen Mosley-Thompson,https://en.wikipedia.org/wiki/Ellen_Mosley-Thompson,Q55381614,1952
Lonnie Thompson,https://en.wikipedia.org/wiki/Lonnie_Thompson,Q897871,1948
Ellen Thomas,https://en.wikipedia.org/wiki/Ellen_Thomas,Q5365034,
James Zachos,https://en.wikipedia.org/wiki/James_Zachos,Q52996336,1959
Jakob Schwander,https://en.wikipedia.org/wiki/Jakob_Schwander,,
Jean Jouzel,https://en.wikipedia.org/wiki/Jean_Jouzel,Q350873,1947
Thomas Stocker,https://en.wikipedia.org/wiki/Thomas_Stocker,Q15120866,1959
Valerie Masson-Delmotte,https://en.wikipedia.org/wiki/Val%C3%A9rie_Masson-Delmotte,Q3554288,1971
Ilkka Hanski,https://en.wikipedia.org/wiki/Ilkka_Hanski,Q3566415,1953
Gene E. Likens,https://en.wikipedia.org/wiki/Gene_E._Likens,Q5531316,1935
Marten Scheffer,https://en.wikipedia.org/wiki/Marten_Scheffer,Q15616424,1958
Peter Grant,https://en.wikipedia.org/wiki/Peter_Grant,Q1903052,
Rosemary Grant,https://en.wikipedia.org/wiki/Rosemary_Grant,Q3657692,
Georgina Mace,https://en.wikipedia.org/wiki/Georgina_Mace,Q5548274,1953
Carlos M. Duarte,https://en.wikipedia.org/wiki/Carlos_M._Duarte,Q37616399,1960
Daniel Pauly,https://en.wikipedia.org/wiki/Daniel_Pauly,Q581515,1946
Terence P. Hughes,https://en.wikipedia.org/wiki/Terence_P._Hughes,Q18044122,1956
Mark Westoby,https://en.wikipedia.org/wiki/Mark_Westoby,Q43121038,1947
Sandra Diaz,https://en.wikipedia.org/wiki/Sandra_D%C3%ADaz_(ecologist),Q15062339,1961
Sandra Lavorel,https://en.wikipedia.org/wiki/Sandra_Lavorel,Q16675540,1965
Lenore Fahrig,https://en.wikipedia.org/wiki/Lenore_Fahrig,Q58206622,1959
Simon Levin,https://en.wikipedia.org/wiki/Simon_Levin,Q3819820,1941
Steward Pickett,https://en.wikipedia.org/wiki/Steward_Pickett,Q58148782,1950
Jeanne Altmann,https://en.wikipedia.org/wiki/Jeanne_Altmann,Q16002714,1940
Marlene Zuk,https://en.wikipedia.org/wiki/Marlene_Zuk,Q7472231,1956
Susan Alberts,https://en.wikipedia.org/wiki/Susan_Alberts,Q18921310,1959
Gerardo Ceballos,https://en.wikipedia.org/wiki/Gerardo_Ceballos,Q23638940,1958
Rodolfo Dirzo,https://en.wikipedia.org/wiki/Rodolfo_Dirzo,Q47495880,1951
David Card,https://en.wikipedia.org/wiki/David_Card,Q1173928,1956
Robert B. Wilson,https://en.wikipedia.org/wiki/Robert_B._Wilson,Q377265,1937
Daron Acemoglu,https://en.wikipedia.org/wiki/Daron_Acemoglu,Q718581,1967
Robert Porter,https://en.wikipedia.org/wiki/Robert_Porter,Q7348979,
Timothy Bresnahan,https://en.wikipedia.org/wiki/Timothy_Bresnahan,Q41799775,1953
Peter Howitt,https://en.wikipedia.org/wiki/Peter_Howitt,Q18326602,
Philippe Aghion,https://en.wikipedia.org/wiki/Philippe_Aghion,Q376364,1956
Ben S. Bernanke,https://en.wikipedia.org/wiki/Ben_S._Bernanke,Q201795,1953
John Moore,https://en.wikipedia.org/wiki/John_Moore,Q417574,
Mark Gertler,https://en.wikipedia.org/wiki/Mark_Gertler,Q1900057,
Nobuhiro Kiyotaki,https://en.wikipedia.org/wiki/Nobuhiro_Kiyotaki,Q1141585,1955
Matthew O. Jackson,https://en.wikipedia.org/wiki/Matthew_O._Jackson,Q6006480,1962
Guido Tabellini,https://en.wikipedia.org/wiki/Guido_Tabellini,Q1553680,1956
Timothy J. Besley,https://en.wikipedia.org/wiki/Timothy_J._Besley,Q2918422,1961
Torsten Persson,https://en.wikipedia.org/wiki/Torsten_Persson,Q316031,1954
Shang-Hua Teng,https://en.wikipedia.org/wiki/Shang-Hua_Teng,Q92663,1964
Peter W. O'Hearn,https://en.wikipedia.org/wiki/Peter_W._O'Hearn,Q7176171,1963
Stephen Brookes,https://en.wikipedia.org/wiki/Stephen_Brookes,Q7608780,
Adam Smith,https://en.wikipedia.org/wiki/Adam_D._Smith,Q39075036,
Cynthia Dwork,https://en.wikipedia.org/wiki/Cynthia_Dwork,Q11580,1958
Frank McSherry,https://en.wikipedia.org/wiki/Frank_McSherry,Q46572280,1976
Kobbi Nissim,https://en.wikipedia.org/wiki/Kobbi_Nissim,Q39075032,1965
Oded Regev,https://en.wikipedia.org/wiki/Oded_Regev,Q65250571,
Irit Dinur,https://en.wikipedia.org/wiki/Irit_Dinur,Q92810,1973
Gabor Tardos,https://en.wikipedia.org/wiki/G%C3%A1bor_Tardos,Q92841,1964
Robin A. Moser,https://en.wikipedia.org/wiki/Robin_A._Moser,,
Andrei Bulatov,https://en.wikipedia.org/wiki/Andrei_Bulatov,Q4098781,
Dmitriy Zhuk,https://en.wikipedia.org/wiki/Dmitriy_Zhuk,,
Craig Gentry,https://en.wikipedia.org/wiki/Craig_Gentry,Q1046036,
Vinod Vaikuntanathan,https://en.wikipedia.org/wiki/Vinod_Vaikuntanathan,Q28002635,
Zvika Brakerski,https://en.wikipedia.org/wiki/Zvika_Brakerski,Q112110099,
Hans Raj Tiwary,https://en.wikipedia.org/wiki/Hans_Raj_Tiwary,,
Ronald de Wolf,https://en.wikipedia.org/wiki/Ronald_de_Wolf,Q41031593,1973
Samuel Fiorini,https://en.wikipedia.org/wiki/Samuel_Fiorini,,
Sebastian Pokutta,https://en.wikipedia.org/wiki/Sebastian_Pokutta,,
Serge Massar,https://en.wikipedia.org/wiki/Serge_Massar,Q107777138,1970
Thomas Rothvoss,https://en.wikipedia.org/wiki/Thomas_Rothvoss,,
Ryan Williams,https://en.wikipedia.org/wiki/Ryan_Williams,Q7384644,
Michel Mayor,https://en.wikipedia.org/wiki/Michel_Mayor,Q123975,1942
Mike Lockwood,https://en.wikipedia.org/wiki/Mike_Lockwood,Q611686,1971
John D. Barrow,https://en.wikipedia.org/wiki/John_D._Barrow,Q471540,1952
Philip England,https://en.wikipedia.org/wiki/Philip_England,Q7183518,1951
Michele Dougherty,https://en.wikipedia.org/wiki/Michele_Dougherty,Q512284,1962
Nick Kaiser,https://en.wikipedia.org/wiki/Nick_Kaiser,Q1984894,1954
James Hough,https://en.wikipedia.org/wiki/James_Hough,Q6136272,1945
Richard White,https://en.wikipedia.org/wiki/Richard_White,Q1761503,
Margaret Kivelson,https://en.wikipedia.org/wiki/Margaret_Kivelson,Q1894849,1928
Robert Kennicutt,https://en.wikipedia.org/wiki/Robert_Kennicutt,Q1360581,1951
Sandra Faber,https://en.wikipedia.org/wiki/Sandra_Faber,Q266972,1944
Yvonne Elsworth,https://en.wikipedia.org/wiki/Yvonne_Elsworth,Q17378081,
Thorne Lay,https://en.wikipedia.org/wiki/Thorne_Lay,Q59668931,1956
George Efstathiou,https://en.wikipedia.org/wiki/George_Efstathiou,Q1507296,1955
Richard B. Horne,https://en.wikipedia.org/wiki/Richard_B._Horne,Q54231247,
John Peacock,https://en.wikipedia.org/wiki/John_Peacock,Q6252359,
Timothy Palmer,https://en.wikipedia.org/wiki/Timothy_Palmer,,
Gilles Chabrier,https://en.wikipedia.org/wiki/Gilles_Chabrier,Q1297161,1955
John-Michael Kendall,https://en.wikipedia.org/wiki/John-Michael_Kendall,Q60697520,1962
Jeremiah Ostriker,https://en.wikipedia.org/wiki/Jeremiah_Ostriker,Q1351917,1937
John Carlstrom,https://en.wikipedia.org/wiki/John_Carlstrom,Q1245714,1957
Lyman Page,https://en.wikipedia.org/wiki/Lyman_Page,Q1878725,1957
Kip Thorne,https://en.wikipedia.org/wiki/Kip_Thorne,Q323320,1940
Ronald Drever,https://en.wikipedia.org/wiki/Ronald_Drever,Q1633582,1931
Sandra M. Faber,https://en.wikipedia.org/wiki/Sandra_M._Faber,Q266972,1944
Jean-Loup Puget,https://en.wikipedia.org/wiki/Jean-Loup_Puget,Q3167065,1947
Nazzareno Mandolesi,https://en.wikipedia.org/wiki/Nazzareno_Mandolesi,Q53442393,1944
Joseph Silk,https://en.wikipedia.org/wiki/Joseph_Silk,Q327196,1942
Nicholas Kaiser,https://en.wikipedia.org/wiki/Nicholas_Kaiser,Q1984894,1954
Lars Hernquist,https://en.wikipedia.org/wiki/Lars_Hernquist,Q3218144,1954
Volker Springel,https://en.wikipedia.org/wiki/Volker_Springel,Q2531319,1970
Marc Kamionkowski,https://en.wikipedia.org/wiki/Marc_Kamionkowski,Q16196092,1965
Matias Zaldarriaga,https://en.wikipedia.org/wiki/Matias_Zaldarriaga,Q1383655,1971
Uros Seljak,https://en.wikipedia.org/wiki/Uroš_Seljak,Q7901082,1966
Frank Eisenhauer,https://en.wikipedia.org/wiki/Frank_Eisenhauer,Q69522563,1968
Richard S. Ellis,https://en.wikipedia.org/wiki/Richard_S._Ellis,Q36883343,1947
Stephen Elledge,https://en.wikipedia.org/wiki/Stephen_Elledge,Q2344805,1956
Elliot Meyerowitz,https://en.wikipedia.org/wiki/Elliot_Meyerowitz,Q5365528,1951
Bert Vogelstein,https://en.wikipedia.org/wiki/Bert_Vogelstein,Q827502,1949
Bonnie Bassler,https://en.wikipedia.org/wiki/Bonnie_Bassler,Q60545293,1962
Geraldine Seydoux,https://en.wikipedia.org/wiki/Geraldine_Seydoux,Q5549793,1964
James Priess,https://en.wikipedia.org/wiki/James_Priess,,
Ruth Lehmann,https://en.wikipedia.org/wiki/Ruth_Lehmann,Q23816854,1955
Allan Jacobson,https://en.wikipedia.org/wiki/Allan_Jacobson,Q60322846,1945
Lynne Maquat,https://en.wikipedia.org/wiki/Lynne_Maquat,Q16731956,1952
Hugo J. Bellen,https://en.wikipedia.org/wiki/Hugo_J._Bellen,Q22003355,1953
Carla Shatz,https://en.wikipedia.org/wiki/Carla_Shatz,Q20181198,1947
Mu-ming Poo,https://en.wikipedia.org/wiki/Mu-ming_Poo,Q8946308,1948
Joshua R. Sanes,https://en.wikipedia.org/wiki/Joshua_R._Sanes,Q29976169,1949
Ann Graybiel,https://en.wikipedia.org/wiki/Ann_Graybiel,Q4766422,1942
Okihide Hikosaka,https://en.wikipedia.org/wiki/Okihide_Hikosaka,Q29583347,1948
Joseph S. Takahashi,https://en.wikipedia.org/wiki/Joseph_S._Takahashi,Q6287342,1951
Corey Goodman,https://en.wikipedia.org/wiki/Corey_Goodman,,
Friedrich Bonhoeffer,https://en.wikipedia.org/wiki/Friedrich_Bonhoeffer,Q1458503,1932
Marc Tessier-Lavigne,https://en.wikipedia.org/wiki/Marc_Tessier-Lavigne,Q6755913,1959
Christine Petit,https://en.wikipedia.org/wiki/Christine_Petit,Q510206,1948
Christopher A. Walsh,https://en.wikipedia.org/wiki/Christopher_A._Walsh,Q23135514,1957
Emery Neal Brown,https://en.wikipedia.org/wiki/Emery_Neal_Brown,Q5370976,1957
Larry Abbott,https://en.wikipedia.org/wiki/Larry_Abbott,Q19938073,1949
Terrence Sejnowski,https://en.wikipedia.org/wiki/Terrence_Sejnowski,Q2405291,1947
Huda Akil,https://en.wikipedia.org/wiki/Huda_Akil,Q5928176,1945
Cornelia Bargmann,https://en.wikipedia.org/wiki/Cornelia_Bargmann,Q5042508,1961
Gerald M. Rubin,https://en.wikipedia.org/wiki/Gerald_M._Rubin,Q1457071,1950
Immanuel Bloch,https://en.wikipedia.org/wiki/Immanuel_Bloch,Q100694,1972
Tobin Marks,https://en.wikipedia.org/wiki/Tobin_Marks,Q899214,1944
Christos H. Papadimitriou,https://en.wikipedia.org/wiki/Christos_H._Papadimitriou,Q92639,1949
Feng Zhang,https://en.wikipedia.org/wiki/Feng_Zhang,Q15726172,1981
Joseph DeSimone,https://en.wikipedia.org/wiki/Joseph_DeSimone,Q6282541,1964
Raphael Mechoulam,https://en.wikipedia.org/wiki/Raphael_Mechoulam,Q903973,1930
James R. Rice,https://en.wikipedia.org/wiki/James_R._Rice,Q3161354,1940
Helen Quinn,https://en.wikipedia.org/wiki/Helen_Quinn,Q450304,1943
Pieter R. Cullis,https://en.wikipedia.org/wiki/Pieter_R._Cullis,,
Chad A. Mirkin,https://en.wikipedia.org/wiki/Chad_A._Mirkin,Q194539,1963
David R. Liu,https://en.wikipedia.org/wiki/David_R._Liu,Q16214492,1973
Andrew Feinberg,https://en.wikipedia.org/wiki/Andrew_Feinberg,Q30608158,
Peter Jones,https://en.wikipedia.org/wiki/Peter_Jones,Q1903598,
Stephen Baylin,https://en.wikipedia.org/wiki/Stephen_Baylin,Q28113000,
Carolyn Bertozzi,https://en.wikipedia.org/wiki/Carolyn_Bertozzi,Q7442,1966
Matthias Mann,https://en.wikipedia.org/wiki/Matthias_Mann,Q110686,1959
Ruedi Aebersold,https://en.wikipedia.org/wiki/Ruedi_Aebersold,Q7377799,1954
Paul Hebert,https://en.wikipedia.org/wiki/Paul_D._N._Hebert,Q7150099,1947
Corinne Le Quere,https://en.wikipedia.org/wiki/Corinne_Le_Quéré,Q16734810,1966
Carl Folke,https://en.wikipedia.org/wiki/Carl_Folke,Q5735344,1955
Stephen P. Jackson,https://en.wikipedia.org/wiki/Stephen_P._Jackson,,
Peter Carmeliet,https://en.wikipedia.org/wiki/Peter_Carmeliet,Q2074300,1959
Vishva M. Dixit,https://en.wikipedia.org/wiki/Vishva_M._Dixit,Q45845575,1956
Amalendu Krishna,https://en.wikipedia.org/wiki/Amalendu_Krishna,Q20798882,
Chenyang Xu,https://en.wikipedia.org/wiki/Chenyang_Xu,Q24887202,1981
Eduardo Teixeira,https://en.wikipedia.org/wiki/Eduardo_Teixeira,Q115474847,
Ritabrata Munshi,https://en.wikipedia.org/wiki/Ritabrata_Munshi,Q21823253,1976
Hoang Hiep Pham,https://en.wikipedia.org/wiki/Ho%C3%A0ng_Hi%E1%BB%87p_Ph%E1%BA%A1m,Q102330512,
Carolina Araujo,https://en.wikipedia.org/wiki/Carolina_Araujo,Q113046764,
