field,country,year,n_authors
"Chemical Engineering",MK,2018,15
"Chemical Engineering",MK,2019,16
"Chemical Engineering",MK,2020,19
"Chemical Engineering",MK,2021,20
"Chemical Engineering",MK,2022,20
"Chemical Engineering",MK,2023,21
"Chemical Engineering",MK,2024,22
"Chemical Engineering",ML,2015,3
"Chemical Engineering",ML,2016,3
"Chemical Engineering",ML,2017,3
"Chemical Engineering",ML,2018,3
"Chemical Engineering",ML,2019,3
"Chemical Engineering",ML,2020,3
"Chemical Engineering",ML,2021,3
"Chemical Engineering",ML,2022,3
"Chemical Engineering",ML,2023,3
"Chemical Engineering",ML,2024,3
"Chemical Engineering",MM,2015,11
"Chemical Engineering",MM,2016,11
"Chemical Engineering",MM,2017,11
"Chemical Engineering",MM,2018,11
"Chemical Engineering",MM,2019,11
"Chemical Engineering",MM,2020,12
"Chemical Engineering",MM,2021,12
"Chemical Engineering",MM,2022,12
"Chemical Engineering",MM,2023,13
"Chemical Engineering",MM,2024,14
"Chemical Engineering",MN,2015,24
"Chemical Engineering",MN,2016,26
"Chemical Engineering",MN,2017,29
"Chemical Engineering",MN,2018,30
"Chemical Engineering",MN,2019,33
"Chemical Engineering",MN,2020,33
"Chemical Engineering",MN,2021,35
"Chemical Engineering",MN,2022,39
"Chemical Engineering",MN,2023,45
"Chemical Engineering",MN,2024,48
"Chemical Engineering",MO,2015,2
"Chemical Engineering",MO,2016,2
"Chemical Engineering",MO,2017,3
"Chemical Engineering",MO,2018,5
"Chemical Engineering",MO,2019,7
"Chemical Engineering",MO,2020,10
"Chemical Engineering",MO,2021,11
"Chemical Engineering",MO,2022,16
"Chemical Engineering",MO,2023,22
"Chemical Engineering",MO,2024,27
"Chemical Engineering",MQ,2015,1
"Chemical Engineering",MQ,2016,1
"Chemical Engineering",MQ,2017,1
"Chemical Engineering",MQ,2018,1
"Chemical Engineering",MQ,2019,1
"Chemical Engineering",MQ,2020,1
"Chemical Engineering",MQ,2021,1
"Chemical Engineering",MQ,2022,1
"Chemical Engineering",MQ,2023,1
"Chemical Engineering",MQ,2024,1
"Chemical Engineering",MR,2015,1
"Chemical Engineering",MR,2016,1
"Chemical Engineering",MR,2017,1
"Chemical Engineering",MR,2018,2
"Chemical Engineering",MR,2019,2
"Chemical Engineering",MR,2020,2
"Chemical Engineering",MR,2021,2
"Chemical Engineering",MR,2022,2
"Chemical Engineering",MR,2023,2
