field,year,n_pool,threshold
Immunology and Microbiology,2016,1000,12510
Immunology and Microbiology,2017,1000,13228
Immunology and Microbiology,2018,1000,13929
Immunology and Microbiology,2019,1000,14691
Immunology and Microbiology,2020,1000,15642
Immunology and Microbiology,2021,1000,16565
Immunology and Microbiology,2022,1000,17414
Immunology and Microbiology,2023,1000,18348
Immunology and Microbiology,2024,1000,19356
Materials Science,2015,1000,12219
Materials Science,2016,1000,13533
Materials Science,2017,1000,14873
Materials Science,2018,1000,16269
Materials Science,2019,1000,17736
Materials Science,2020,1000,19468
Materials Science,2021,1000,21396
Materials Science,2022,1000,23590
Materials Science,2023,1000,25629
Materials Science,2024,1000,28184
Mathematics,2015,1000,5686
Mathematics,2016,1000,6080
Mathematics,2017,1001,6514
Mathematics,2018,1000,6927
Mathematics,2019,1000,7368
Mathematics,2020,1000,7953
Mathematics,2021,1000,8506
Mathematics,2022,1001,8969
Mathematics,2023,1000,9411
Mathematics,2024,1000,9846
Medicine,2015,1000,30139
Medicine,2016,1000,32317
Medicine,2017,1000,34688
Medicine,2018,1000,37093
Medicine,2019,1000,39661
Medicine,2020,1000,42776
Medicine,2021,1000,46239
Medicine,2022,1000,49366
Medicine,2023,1000,52568
Medicine,2024,1000,55775
Neuroscience,2015,1000,14431
Neuroscience,2016,1001,15324
Neuroscience,2017,1000,16280
Neuroscience,2018,1000,17312
Neuroscience,2019,1000,18316
Neuroscience,2020,1000,19602
Neuroscience,2021,1000,20973
Neuroscience,2022,1000,22383
Neuroscience,2023,1000,23584
Neuroscience,2024,1000,24889
Nursing,2015,1002,1922
Nursing,2016,1000,2079
Nursing,2017,1000,2249
Nursing,2018,1000,2441
Nursing,2019,1000,2639
Nursing,2020,1000,2892
Nursing,2021,1000,3181
Nursing,2022,1002,3508
Nursing,2023,1000,3864
Nursing,2024,1000,4232
"Pharmacology, Toxicology and Pharmaceutics",2015,1000,1884
"Pharmacology, Toxicology and Pharmaceutics",2016,1000,2067
"Pharmacology, Toxicology and Pharmaceutics",2017,1000,2265
"Pharmacology, Toxicology and Pharmaceutics",2018,1000,2428
"Pharmacology, Toxicology and Pharmaceutics",2019,1000,2643
"Pharmacology, Toxicology and Pharmaceutics",2020,1000,2915
"Pharmacology, Toxicology and Pharmaceutics",2021,1000,3237
"Pharmacology, Toxicology and Pharmaceutics",2022,1000,3535
"Pharmacology, Toxicology and Pharmaceutics",2023,1000,3840
"Pharmacology, Toxicology and Pharmaceutics",2024,1001,4207
Physics and Astronomy,2015,1000,13847
Physics and Astronomy,2016,1000,14741
Physics and Astronomy,2017,1000,15629
Physics and Astronomy,2018,1000,16521
Physics and Astronomy,2019,1000,17481
Physics and Astronomy,2020,1000,18411
Physics and Astronomy,2021,1000,19615
Physics and Astronomy,2022,1000,20759
Physics and Astronomy,2023,1000,21841
Physics and Astronomy,2024,1000,22929
Psychology,2015,1000,10868
Psychology,2016,1000,11829
Psychology,2017,1000,12845
Psychology,2018,1000,13934
Psychology,2019,1000,15094
Psychology,2020,1000,16509
Psychology,2021,1000,17831
Psychology,2022,1000,19121
Psychology,2023,1000,20367
Psychology,2024,1000,21672
Social Sciences,2015,1000,8803
Social Sciences,2016,1000,9572
Social Sciences,2017,1000,10370
Social Sciences,2018,1000,11149
Social Sciences,2019,1000,12115
Social Sciences,2020,1001,13104
